ParameterId;Date;Value
11;03.08.2011;0,9995599
12;03.08.2011;0,5347546
13;03.08.2011;0,3443076
14;03.08.2011;0,7009093
15;03.08.2011;3,27862
20;03.08.2011;0,1948557
21;03.08.2011;4,469987
22;03.08.2011;4,914829
23;03.08.2011;2,794427
24;03.08.2011;615,1542
25;03.08.2011;0,1437312
26;03.08.2011;328,6049
28;03.08.2011;29,54717
29;03.08.2011;65
30;03.08.2011;3291,569
31;03.08.2011;2,963401
34;03.08.2011;27,99624
35;03.08.2011;439,1851
36;03.08.2011;0,9873418
37;03.08.2011;0,9548193
38;03.08.2011;7,748607
39;03.08.2011;28
40;03.08.2011;1,07691
41;03.08.2011;1,277219
42;03.08.2011;1,051611
43;03.08.2011;11,4
44;03.08.2011;0,46
45;03.08.2011;0,3
46;03.08.2011;0,6
47;03.08.2011;89,3
48;03.08.2011;8,1
49;03.08.2011;35,29153
50;03.08.2011;56,8153
51;03.08.2011;1842,402
52;03.08.2011;3,878262
53;03.08.2011;1268,495
54;03.08.2011;2149,921
55;03.08.2011;437,0154
1;03.08.2011;1,350605
2;03.08.2011;0,9454232
3;03.08.2011;0,4051813
4;03.08.2011;1251,835
5;03.08.2011;202,4973
6;03.08.2011;0,5875
7;03.08.2011;20,1
8;03.08.2011;47,74347
9;03.08.2011;1,173101
10;03.08.2011;1,200258
11;03.08.2011;0,9996635
12;03.08.2011;0,5316885
13;03.08.2011;0,3423335
14;03.08.2011;0,6968905
15;03.08.2011;3,695894
20;03.08.2011;0,1682139
21;03.08.2011;4,407428
22;03.08.2011;5,043478
23;03.08.2011;2,793283
24;03.08.2011;598,631
25;03.08.2011;0,1474934
26;03.08.2011;297,9915
28;03.08.2011;34,59527
29;03.08.2011;66
30;03.08.2011;3284,883
31;03.08.2011;2,956242
34;03.08.2011;28,35842
35;03.08.2011;441,0439
36;03.08.2011;0,9713574
37;03.08.2011;0,9354519
38;03.08.2011;8,103322
39;03.08.2011;32,5
40;03.08.2011;1,07808
41;03.08.2011;1,27868
42;03.08.2011;1,052629
43;03.08.2011;11,2
44;03.08.2011;0,46
45;03.08.2011;0,3
46;03.08.2011;0,5
47;03.08.2011;89,2
48;03.08.2011;8
49;03.08.2011;35,35203
50;03.08.2011;56,83316
51;03.08.2011;1864,2
52;03.08.2011;3,922958
53;03.08.2011;1310,662
54;03.08.2011;2218,973
55;03.08.2011;431,5663
1;03.08.2011;1,362321
2;03.08.2011;0,9536248
3;03.08.2011;0,4086964
4;03.08.2011;1251,61
5;03.08.2011;199,6136
6;03.08.2011;0,475
7;03.08.2011;21,4
8;03.08.2011;54,0404
9;03.08.2011;1,151365
10;03.08.2011;1,237214
11;03.08.2011;0,9996749
12;03.08.2011;0,5388281
13;03.08.2011;0,3469304
14;03.08.2011;0,7062484
15;03.08.2011;3,888757
20;03.08.2011;0,1652836
21;03.08.2011;4,747354
22;03.08.2011;5,052424
23;03.08.2011;2,809512
24;03.08.2011;595,3207
25;03.08.2011;0,147755
26;03.08.2011;326,3089
28;03.08.2011;29,25763
29;03.08.2011;66
30;03.08.2011;3348,533
31;03.08.2011;2,982366
34;03.08.2011;28,20018
35;03.08.2011;445,7744
36;03.08.2011;0,9503722
37;03.08.2011;0,9188119
38;03.08.2011;8,636111
39;03.08.2011;33,23529
40;03.08.2011;1,077352
41;03.08.2011;1,277808
42;03.08.2011;1,051982
43;03.08.2011;11,5
44;03.08.2011;0,46
45;03.08.2011;0,3
46;03.08.2011;0,6
47;03.08.2011;89,3
48;03.08.2011;8
49;03.08.2011;35,32889
50;03.08.2011;56,82401
51;03.08.2011;1851,546
52;03.08.2011;3,861183
53;03.08.2011;1301,194
54;03.08.2011;2205,317
55;03.08.2011;438,9434
1;04.08.2011;1,434754
2;04.08.2011;1,004328
3;04.08.2011;0,4304264
4;04.08.2011;1250,836
5;04.08.2011;196,3264
