ParameterId;Date;Value
8;06.01.2022 8:00;40,93817
8;06.01.2022 16:00;39,82301
8;07.01.2022 0:00;41,64811
8;07.01.2022 8:00;44,68085
8;07.01.2022 16:00;43,10345
8;08.01.2022 0:00;43,30357
8;08.01.2022 8:00;42,22222
8;08.01.2022 16:00;43,23144
8;09.01.2022 0:00;42,13837
8;09.01.2022 8:00;42,08334
8;09.01.2022 16:00;40
8;10.01.2022 0:00;41,66667
8;10.01.2022 8:00;44,3723
8;10.01.2022 16:00;44,20601
8;11.01.2022 0:00;43,44262
8;11.01.2022 8:00;40,68522
8;11.01.2022 16:00;0
8;12.01.2022 0:00;42,1286
8;12.01.2022 8:00;40,12346
8;12.01.2022 16:00;41,48472
8;13.01.2022 0:00;41,30435
8;13.01.2022 8:00;41,95652
8;13.01.2022 16:00;40,4814
8;14.01.2022 0:00;41,33334
8;14.01.2022 8:00;40,49774
8;14.01.2022 16:00;42,41758
8;15.01.2022 0:00;41,55844
8;15.01.2022 8:00;44,39252
8;15.01.2022 16:00;0
8;16.01.2022 0:00;39,75904
8;16.01.2022 8:00;0
8;16.01.2022 16:00;38,63636
8;17.01.2022 0:00;41,74107
8;17.01.2022 8:00;41,75824
8;17.01.2022 16:00;40,26549
8;18.01.2022 0:00;43,42984
8;18.01.2022 8:00;43,46847
8;18.01.2022 16:00;41,48472
8;19.01.2022 0:00;42,47788
8;19.01.2022 8:00;0
8;19.01.2022 16:00;0
8;20.01.2022 0:00;41,76072
8;20.01.2022 8:00;41,03773
8;20.01.2022 16:00;40,61033
8;21.01.2022 0:00;39,81042
8;21.01.2022 8:00;41,83908
8;21.01.2022 16:00;48,09524
8;22.01.2022 0:00;43,58974
8;22.01.2022 8:00;0
8;22.01.2022 16:00;40,39901
8;23.01.2022 0:00;41,247
8;23.01.2022 8:00;42,15247
8;23.01.2022 16:00;41,8552
8;24.01.2022 0:00;42,00913
8;24.01.2022 8:00;41,9426
8;24.01.2022 16:00;37,70883
8;25.01.2022 0:00;40,52863
8;25.01.2022 8:00;42,95011
8;25.01.2022 16:00;40,53452
8;26.01.2022 0:00;42,15457
8;26.01.2022 8:00;41,22622
8;26.01.2022 16:00;40,90909
8;27.01.2022 0:00;40,65218
8;27.01.2022 8:00;41,30435
8;27.01.2022 16:00;41,15139
8;28.01.2022 0:00;42,67516
8;28.01.2022 8:00;42,5486
8;28.01.2022 16:00;42,94872
8;29.01.2022 0:00;42,91755
8;29.01.2022 8:00;41,48472
8;29.01.2022 16:00;40,99783
8;30.01.2022 0:00;45,45454
8;30.01.2022 8:00;42,61954
8;30.01.2022 16:00;43,21503
8;31.01.2022 0:00;44,25887
8;31.01.2022 8:00;43,22034
8;31.01.2022 16:00;43,30544
8;01.02.2022 0:00;43,00847
8;01.02.2022 8:00;40,77253
8;01.02.2022 16:00;0
8;02.02.2022 0:00;41,37931
8;02.02.2022 8:00;41,83908
8;02.02.2022 16:00;40,04576
8;03.02.2022 0:00;41,0596
8;03.02.2022 8:00;42,47191
8;03.02.2022 16:00;41,6309
8;04.02.2022 0:00;40,53452
8;04.02.2022 8:00;40,96917
8;04.02.2022 16:00;42,22222
8;05.02.2022 0:00;41,13636
8;05.02.2022 8:00;42,22222
8;05.02.2022 16:00;0
8;06.02.2022 0:00;42,11712
8;06.02.2022 8:00;42,1978
8;06.02.2022 16:00;40,5765
8;07.02.2022 0:00;40,78947
8;07.02.2022 8:00;40,26549
8;07.02.2022 16:00;42,03187
8;08.02.2022 0:00;44,44444
8;08.02.2022 8:00;39,82495
8;08.02.2022 16:00;40,91904
8;09.02.2022 0:00;44,36937
8;09.02.2022 8:00;42,39828
8;09.02.2022 16:00;44,88889
8;10.02.2022 0:00;43,87528
8;10.02.2022 8:00;39,59276
8;10.02.2022 16:00;41,08696
8;11.02.2022 0:00;41,20267
8;11.02.2022 8:00;43,61234
8;11.02.2022 16:00;45,29541
8;12.02.2022 0:00;42,32456
8;12.02.2022 8:00;40,44445
8;12.02.2022 16:00;43,11927
8;13.02.2022 0:00;44,11765
8;13.02.2022 8:00;43,77778
8;13.02.2022 16:00;42,72727
8;14.02.2022 0:00;43,27354
8;14.02.2022 8:00;43,84787
8;14.02.2022 16:00;43,53741
8;15.02.2022 0:00;43,18182
8;15.02.2022 8:00;43,32604
8;15.02.2022 16:00;45,08929
8;16.02.2022 0:00;44,15011
8;16.02.2022 8:00;44,19643
8;16.02.2022 16:00;44,29825
8;17.02.2022 0:00;43,33333
8;17.02.2022 8:00;44,73684
8;17.02.2022 16:00;41,86047
8;18.02.2022 0:00;43,18707
8;18.02.2022 8:00;44,07159
8;18.02.2022 16:00;44,07159
8;19.02.2022 0:00;43,02325
8;19.02.2022 8:00;43,96552
8;19.02.2022 16:00;43,36283
8;20.02.2022 0:00;43,36283
8;20.02.2022 8:00;43,01552
8;20.02.2022 16:00;42,53394
8;21.02.2022 0:00;41,57044
8;21.02.2022 8:00;39,77273
8;21.02.2022 16:00;40,2746
8;22.02.2022 0:00;40,91954
8;22.02.2022 8:00;42,59681
8;22.02.2022 16:00;41,72335
8;23.02.2022 0:00;42,69407
8;23.02.2022 8:00;42,35808
